NO,year,month,yearmonth,city,zero_twelve,twelve_seventeen,twenty,sixty_five,twnty_sixty,seventeen_twenty,zero_twenty,zero_seventeen,seventeen_sixty
1,101,1,10101,雲林縣,10.84,7.62,79.01,15.29,63.72,2.53,20.99,18.46,66.25
2,101,2,10102,雲林縣,12.02,7.64,79.04,15.29,63.75,1.3,20.96,19.66,65.05
3,101,3,10103,雲林縣,11.98,7.65,79.05,15.3,63.75,1.32,20.95,19.63,65.07
4,101,4,10104,雲林縣,11.94,7.66,79.09,15.34,63.75,1.31,20.91,19.6,65.06
5,101,5,10105,雲林縣,11.91,7.67,79.11,15.34,63.77,1.31,20.89,19.58,65.08
6,101,6,10106,雲林縣,11.89,7.67,79.14,15.34,63.8,1.3,20.86,19.56,65.1
7,101,7,10107,雲林縣,11.87,7.67,79.18,15.35,63.83,1.28,20.82,19.54,65.11
8,101,8,10108,雲林縣,11.83,7.66,79.22,15.36,63.86,1.29,20.78,19.49,65.15
9,101,9,10109,雲林縣,11.79,7.66,79.26,15.41,63.85,1.29,20.74,19.45,65.14
10,101,10,10110,雲林縣,11.77,7.66,79.29,15.44,63.85,1.28,20.71,19.43,65.13
11,101,11,10111,雲林縣,11.74,7.67,79.32,15.46,63.86,1.27,20.68,19.41,65.13
12,101,12,10112,雲林縣,11.72,7.66,79.36,15.49,63.87,1.26,20.64,19.38,65.13
13,102,1,10201,雲林縣,11.69,7.64,79.38,15.51,63.87,1.29,20.62,19.33,65.16
14,102,2,10202,雲林縣,11.64,7.63,79.42,15.54,63.88,1.31,20.58,19.27,65.19
15,102,3,10203,雲林縣,11.58,7.63,79.46,15.56,63.9,1.33,20.54,19.21,65.23
16,102,4,10204,雲林縣,11.54,7.61,79.5,15.57,63.93,1.35,20.5,19.15,65.28
17,102,5,10205,雲林縣,11.49,7.6,79.53,15.59,63.94,1.38,20.47,19.09,65.32
18,102,6,10206,雲林縣,11.43,7.6,79.6,15.6,64,1.37,20.4,19.03,65.37
19,102,7,10207,雲林縣,11.4,7.59,79.63,15.6,64.03,1.38,20.37,18.99,65.41
20,102,8,10208,雲林縣,11.34,7.58,79.69,15.62,64.07,1.39,20.31,18.92,65.46
21,102,9,10209,雲林縣,11.29,7.56,79.74,15.65,64.09,1.41,20.26,18.85,65.5
22,102,10,10210,雲林縣,11.22,7.54,79.8,15.68,64.12,1.44,20.2,18.76,65.56
23,102,11,10211,雲林縣,11.15,7.5,79.85,15.74,64.11,1.5,20.15,18.65,65.61
24,102,12,10212,雲林縣,11.11,7.47,79.9,15.77,64.13,1.52,20.1,18.58,65.65
25,103,1,10301,雲林縣,11.06,7.45,79.95,15.8,64.15,1.54,20.05,18.51,65.69
26,103,2,10302,雲林縣,11.02,7.43,79.98,15.83,64.15,1.57,20.02,18.45,65.72
27,103,3,10303,雲林縣,10.98,7.42,80.03,15.86,64.17,1.57,19.97,18.4,65.74
28,103,4,10304,雲林縣,10.95,7.38,80.07,15.94,64.13,1.6,19.93,18.33,65.73
29,103,5,10305,雲林縣,10.91,7.37,80.12,15.93,64.19,1.6,19.88,18.28,65.79
30,103,6,10306,雲林縣,10.88,7.36,80.16,15.92,64.24,1.6,19.84,18.24,65.84
31,103,7,10307,雲林縣,10.85,7.35,80.21,15.91,64.3,1.59,19.79,18.2,65.89
32,103,8,10308,雲林縣,10.82,7.34,80.25,15.94,64.31,1.59,19.75,18.16,65.9
33,103,9,10309,雲林縣,10.8,7.32,80.3,15.99,64.31,1.58,19.7,18.12,65.89
34,103,10,10310,雲林縣,10.77,7.3,80.35,16.02,64.33,1.58,19.65,18.07,65.91
35,103,11,10311,雲林縣,10.74,7.28,80.41,16.06,64.35,1.57,19.59,18.02,65.92
36,103,12,10312,雲林縣,10.71,7.25,80.44,16.1,64.34,1.6,19.56,17.96,65.94
37,104,1,10401,雲林縣,10.68,7.24,80.49,16.14,64.35,1.59,19.51,17.92,65.94
38,104,2,10402,雲林縣,10.65,7.22,80.53,16.16,64.37,1.6,19.47,17.87,65.97
39,104,3,10403,雲林縣,10.61,7.18,80.58,16.23,64.35,1.63,19.42,17.79,65.98
40,104,4,10404,雲林縣,10.57,7.16,80.64,16.29,64.35,1.63,19.36,17.73,65.98
41,104,5,10405,雲林縣,10.54,7.14,80.68,16.29,64.39,1.64,19.32,17.68,66.03
42,104,6,10406,雲林縣,10.5,7.12,80.71,16.28,64.43,1.67,19.29,17.62,66.1
43,104,7,10407,雲林縣,10.48,7.11,80.74,16.27,64.47,1.67,19.26,17.59,66.14
44,104,8,10408,雲林縣,10.45,7.08,80.79,16.29,64.5,1.68,19.21,17.53,66.18
45,104,9,10409,雲林縣,10.42,7.05,80.84,16.35,64.49,1.69,19.16,17.47,66.18
46,104,10,10410,雲林縣,10.39,7.02,80.9,16.38,64.52,1.69,19.1,17.41,66.21
47,104,11,10411,雲林縣,10.35,6.99,80.95,16.42,64.53,1.71,19.05,17.34,66.24
48,104,12,10412,雲林縣,10.33,6.97,81,16.47,64.53,1.7,19,17.3,66.23
49,105,1,10501,雲林縣,10.3,6.95,81.05,16.53,64.52,1.7,18.95,17.25,66.22
50,105,2,10502,雲林縣,10.28,6.93,81.09,16.57,64.52,1.7,18.91,17.21,66.22
51,105,3,10503,雲林縣,10.26,6.91,81.13,16.62,64.51,1.7,18.87,17.17,66.21
52,105,4,10504,雲林縣,10.24,6.89,81.19,16.69,64.5,1.68,18.81,17.13,66.18
53,105,5,10505,雲林縣,10.22,6.88,81.23,16.72,64.51,1.67,18.77,17.1,66.18
54,105,6,10506,雲林縣,10.2,6.87,81.26,16.75,64.51,1.67,18.74,17.07,66.18
55,105,7,10507,雲林縣,10.17,6.85,81.3,16.78,64.52,1.68,18.7,17.02,66.2
56,105,8,10508,雲林縣,10.15,6.84,81.34,16.84,64.5,1.67,18.66,16.99,66.17
57,105,9,10509,雲林縣,10.13,6.83,81.39,16.92,64.47,1.65,18.61,16.96,66.12
58,105,10,10510,雲林縣,10.09,6.82,81.44,16.98,64.46,1.65,18.56,16.91,66.11
59,105,11,10511,雲林縣,10.07,6.81,81.49,17.04,64.45,1.63,18.51,16.88,66.08
60,105,12,10512,雲林縣,10.04,6.79,81.55,17.09,64.46,1.62,18.45,16.83,66.08
61,106,1,10601,雲林縣,10.02,6.77,81.6,17.15,64.45,1.61,18.4,16.79,66.06
62,106,2,10602,雲林縣,10,6.76,81.64,17.18,64.46,1.6,18.36,16.76,66.06
63,106,3,10603,雲林縣,9.98,6.73,81.69,17.22,64.47,1.6,18.31,16.71,66.07
64,106,4,10604,雲林縣,9.97,6.7,81.74,17.26,64.48,1.59,18.26,16.67,66.07
65,106,5,10605,雲林縣,9.95,6.67,81.79,17.28,64.51,1.59,18.21,16.62,66.1
66,106,6,10606,雲林縣,9.94,6.64,81.83,17.29,64.54,1.59,18.17,16.58,66.13
